file_name,group,label,bbox_x_center,bbox_y_center,bbox_width,bbox_height,category,revised,path
rev01__15__15_20201030 (2453).txt,train,14,0.1619,0.5329,0.1504,0.0956,Vulpes vulpes,alba,donanet\images\train\rev01__15__15_20201030 (2453)
rev01__15__15_20201030 (2455).txt,train,14,0.429,0.5422,0.1741,0.1259,Vulpes vulpes,alba,donanet\images\train\rev01__15__15_20201030 (2455)
rev01__15__15_20201030 (2457).txt,train,14,0.642,0.5226,0.1783,0.1311,Vulpes vulpes,alba,donanet\images\train\rev01__15__15_20201030 (2457)
rev01__16__16_20201025 (4).txt,train,10,0.6176,0.4625,0.1387,0.2688,Homo sapiens,alba,donanet\images\train\rev01__16__16_20201025 (4)
rev01__16__16_20201025 (4).txt,train,10,0.3797,0.4177,0.1012,0.4533,Homo sapiens,alba,donanet\images\train\rev01__16__16_20201025 (4)
rev01__16__16_20201025 (5).txt,train,10,0.5389,0.411,0.0779,0.3481,Homo sapiens,alba,donanet\images\train\rev01__16__16_20201025 (5)
rev01__16__16_20201025 (5).txt,train,10,0.7918,0.4092,0.0862,0.5251,Homo sapiens,alba,donanet\images\train\rev01__16__16_20201025 (5)
rev01__16__16_20201025 (7).txt,train,10,0.2756,0.411,0.1054,0.3614,Homo sapiens,alba,donanet\images\train\rev01__16__16_20201025 (7)
rev01__16__16_20201025 (7).txt,train,10,0.9248,0.344,0.1487,0.6881,Homo sapiens,alba,donanet\images\train\rev01__16__16_20201025 (7)
rev01__16__16_20201025 (8).txt,train,10,0.9325,0.36,0.135,0.72,Homo sapiens,alba,donanet\images\train\rev01__16__16_20201025 (8)
rev01__16__16_20201025 (8).txt,train,10,0.2387,0.4074,0.1008,0.3659,Homo sapiens,alba,donanet\images\train\rev01__16__16_20201025 (8)
rev01__16__16_20201026 (108).txt,train,15,0.1022,0.5773,0.2045,0.3696,Sus scrofa,alba,donanet\images\train\rev01__16__16_20201026 (108)
rev01__16__16_20201113 (305).txt,train,10,0.097,0.3656,0.1566,0.0837,Homo sapiens,alba,donanet\images\train\rev01__16__16_20201113 (305)
rev01__17__17_20201029 (169).txt,train,15,0.3058,0.5573,0.1208,0.1414,Sus scrofa,alba,donanet\images\train\rev01__17__17_20201029 (169)
rev01__17__17_20201116 (907).txt,train,10,0.7499,0.8111,0.17,0.3348,Homo sapiens,alba,donanet\images\train\rev01__17__17_20201116 (907)
rev01__17__17_20201116 (909).txt,train,10,0.507,0.7485,0.1091,0.46,Homo sapiens,alba,donanet\images\train\rev01__17__17_20201116 (909)
rev01__17__17_20201116 (912).txt,train,10,0.3869,0.83,0.0629,0.2985,Homo sapiens,alba,donanet\images\train\rev01__17__17_20201116 (912)
rev01__17__17_20201116 (913).txt,train,10,0.3816,0.861,0.0667,0.2362,Homo sapiens,alba,donanet\images\train\rev01__17__17_20201116 (913)
rev01__17__17_20201116 (914).txt,train,10,0.3777,0.881,0.0854,0.1962,Homo sapiens,alba,donanet\images\train\rev01__17__17_20201116 (914)
rev01__18__18_20201024 (22).txt,train,10,0.7485,0.4203,0.0446,0.3118,Homo sapiens,alba,donanet\images\train\rev01__18__18_20201024 (22)
rev01__18__18_20201024 (22).txt,train,10,0.7129,0.411,0.0842,0.3659,Homo sapiens,alba,donanet\images\train\rev01__18__18_20201024 (22)
rev01__18__18_20201026 (160).txt,train,7,0.4753,0.451,0.0808,0.1659,Dama dama,alba,donanet\images\train\rev01__18__18_20201026 (160)
rev01__19__19_20201113 (56).txt,train,6,0.4389,0.6196,0.0554,0.0659,Oryctolagus cuniculus,alba,donanet\images\train\rev01__19__19_20201113 (56)
rev01__20__20_20201024 (1).txt,train,10,0.9583,0.3122,0.0833,0.6244,Homo sapiens,alba,donanet\images\train\rev01__20__20_20201024 (1)
rev01__20__20_20201030 (593).txt,train,14,0.4174,0.5726,0.1841,0.2237,Vulpes vulpes,alba,donanet\images\train\rev01__20__20_20201030 (593)
rev01__20__20_20201111 (1154).txt,train,4,0.4528,0.5107,0.1733,0.0748,Herpestes ichneumon,alba,donanet\images\train\rev01__20__20_20201111 (1154)
rev01__20__20_20201115 (1247).txt,train,5,0.741,0.5644,0.0862,0.194,Meles meles,alba,donanet\images\train\rev01__20__20_20201115 (1247)
rev01__20__20_20201115 (1248).txt,train,5,0.7416,0.5607,0.0842,0.2014,Meles meles,alba,donanet\images\train\rev01__20__20_20201115 (1248)
rev01__20__20_20201115 (1249).txt,train,5,0.7416,0.5606,0.0842,0.2029,Meles meles,alba,donanet\images\train\rev01__20__20_20201115 (1249)
rev01__20__20_20201115 (1250).txt,train,5,0.7376,0.5859,0.1262,0.1896,Meles meles,alba,donanet\images\train\rev01__20__20_20201115 (1250)
rev01__20__20_20201115 (1251).txt,train,5,0.6983,0.5988,0.1458,0.2096,Meles meles,alba,donanet\images\train\rev01__20__20_20201115 (1251)
rev01__20__20_20201115 (1253).txt,train,5,0.6829,0.5714,0.1283,0.2866,Meles meles,alba,donanet\images\train\rev01__20__20_20201115 (1253)
rev01__20__20_20201115 (1254).txt,train,5,0.6754,0.5684,0.1191,0.2985,Meles meles,alba,donanet\images\train\rev01__20__20_20201115 (1254)
rev01__20__20_20201115 (1255).txt,train,5,0.6796,0.5374,0.1233,0.3385,Meles meles,alba,donanet\images\train\rev01__20__20_20201115 (1255)
rev01__20__20_20201115 (1256).txt,train,5,0.6751,0.5177,0.132,0.3748,Meles meles,alba,donanet\images\train\rev01__20__20_20201115 (1256)
rev01__20__20_20201115 (1257).txt,train,5,0.6782,0.527,0.1274,0.3577,Meles meles,alba,donanet\images\train\rev01__20__20_20201115 (1257)
rev01__20__20_20201115 (1258).txt,train,5,0.6779,0.5314,0.1283,0.3488,Meles meles,alba,donanet\images\train\rev01__20__20_20201115 (1258)
rev01__20__20_20201115 (1259).txt,train,5,0.6698,0.6147,0.1279,0.2162,Meles meles,alba,donanet\images\train\rev01__20__20_20201115 (1259)
rev01__20__20_20201115 (1261).txt,train,5,0.6976,0.6225,0.102,0.2303,Meles meles,alba,donanet\images\train\rev01__20__20_20201115 (1261)
rev01__20__20_20201117 (1274).txt,train,15,0.1612,0.5007,0.1774,0.274,Sus scrofa,alba,donanet\images\train\rev01__20__20_20201117 (1274)
rev01__20__20_20201117 (1292).txt,train,10,0.6628,0.4896,0.6725,0.9792,Homo sapiens,alba,donanet\images\train\rev01__20__20_20201117 (1292)
rev01__20__20_20201117 (1298).txt,train,10,0.5,0.4915,1.0,0.977,Homo sapiens,alba,donanet\images\train\rev01__20__20_20201117 (1298)
rev01__21__21_20201030 (1391).txt,train,11,0.3257,0.5466,0.1166,0.1422,Lepus granatensis,alba,donanet\images\train\rev01__21__21_20201030 (1391)
rev01__21__21_20201030 (1415).txt,train,11,0.4966,0.5777,0.095,0.117,Lepus granatensis,alba,donanet\images\train\rev01__21__21_20201030 (1415)
rev01__21__21_20201102 (2373).txt,train,15,0.2291,0.3858,0.0942,0.1081,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2373)
rev01__21__21_20201102 (2373).txt,train,15,0.0425,0.3814,0.0367,0.1259,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2373)
rev01__21__21_20201102 (2373).txt,train,15,0.4562,0.4373,0.1016,0.1562,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2373)
rev01__21__21_20201102 (2376).txt,train,15,0.5073,0.4466,0.0646,0.157,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2376)
rev01__21__21_20201102 (2376).txt,train,15,0.0598,0.3878,0.0838,0.1281,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2376)
rev01__21__21_20201102 (2376).txt,train,15,0.2543,0.3873,0.0871,0.1081,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2376)
rev01__21__21_20201102 (2388).txt,train,15,0.2961,0.3914,0.0525,0.1118,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2388)
rev01__21__21_20201102 (2388).txt,train,15,0.071,0.3922,0.0671,0.1222,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2388)
rev01__21__21_20201102 (2388).txt,train,15,0.6791,0.4892,0.1724,0.214,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2388)
rev01__21__21_20201102 (2392).txt,train,15,0.3446,0.4125,0.0483,0.1362,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2392)
rev01__21__21_20201102 (2392).txt,train,15,0.0725,0.3936,0.0583,0.1251,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2392)
rev01__21__21_20201102 (2392).txt,train,15,0.906,0.531,0.1879,0.234,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2392)
rev01__21__21_20201102 (2394).txt,train,15,0.9588,0.5329,0.0825,0.217,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2394)
rev01__21__21_20201102 (2394).txt,train,15,0.3433,0.4076,0.055,0.1429,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2394)
rev01__21__21_20201102 (2394).txt,train,15,0.0721,0.3914,0.0558,0.1266,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2394)
rev01__21__21_20201102 (2395).txt,train,15,0.0831,0.3948,0.0662,0.1274,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2395)
rev01__21__21_20201102 (2395).txt,train,15,0.3295,0.4092,0.065,0.14,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2395)
rev01__21__21_20201102 (2422).txt,train,15,0.0908,0.431,0.0558,0.1644,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2422)
rev01__21__21_20201102 (2422).txt,train,15,0.5432,0.5281,0.1199,0.3066,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2422)
rev01__21__21_20201102 (2430).txt,train,15,0.6547,0.5744,0.2112,0.3355,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2430)
rev01__21__21_20201102 (2430).txt,train,15,0.1337,0.4496,0.0533,0.1851,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2430)
rev01__21__21_20201102 (2441).txt,train,15,0.7631,0.6254,0.1554,0.4229,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2441)
rev01__21__21_20201102 (2441).txt,train,15,0.1614,0.4781,0.1362,0.1948,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2441)
rev01__21__21_20201102 (2453).txt,train,15,0.7143,0.5244,0.142,0.1881,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2453)
rev01__21__21_20201102 (2454).txt,train,15,0.7564,0.5214,0.1304,0.1866,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2454)
rev01__21__21_20201102 (2458).txt,train,15,0.8489,0.4518,0.0812,0.117,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2458)
rev01__21__21_20201102 (2458).txt,train,15,0.9264,0.5362,0.147,0.2355,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2458)
rev01__21__21_20201102 (2458).txt,train,15,0.7358,0.5226,0.1358,0.1933,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2458)
rev01__21__21_20201102 (2460).txt,train,15,0.8139,0.4496,0.0904,0.1259,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2460)
rev01__21__21_20201102 (2460).txt,train,15,0.9254,0.5377,0.1491,0.237,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2460)
rev01__21__21_20201102 (2460).txt,train,15,0.7456,0.5222,0.1387,0.1896,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2460)
rev01__21__21_20201102 (2461).txt,train,15,0.8154,0.447,0.0892,0.1177,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2461)
rev01__21__21_20201102 (2461).txt,train,15,0.9114,0.5374,0.177,0.2303,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2461)
rev01__21__21_20201102 (2461).txt,train,15,0.7516,0.524,0.1358,0.1874,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2461)
rev01__21__21_20201102 (2470).txt,train,15,0.721,0.4396,0.107,0.1177,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2470)
rev01__21__21_20201102 (2470).txt,train,15,0.7933,0.5778,0.1466,0.3185,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2470)
rev01__21__21_20201102 (2495).txt,train,15,0.8626,0.4985,0.0562,0.1496,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2495)
rev01__21__21_20201102 (2495).txt,train,15,0.597,0.4584,0.09,0.1762,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2495)
rev01__21__21_20201102 (2495).txt,train,15,0.4954,0.4007,0.0533,0.08,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2495)
rev01__21__21_20201102 (2511).txt,train,15,0.6066,0.4328,0.0517,0.1355,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2511)
rev01__21__21_20201102 (2511).txt,train,15,0.9333,0.4852,0.045,0.1155,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2511)
rev01__21__21_20201102 (2521).txt,train,15,0.6898,0.4262,0.0779,0.1044,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2521)
rev01__21__21_20201102 (2521).txt,train,15,0.9164,0.457,0.0646,0.0978,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2521)
rev01__21__21_20201102 (2525).txt,train,15,0.6495,0.4392,0.06,0.1333,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2525)
rev01__21__21_20201102 (2525).txt,train,15,0.8772,0.4832,0.0962,0.134,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2525)
rev01__21__21_20201102 (2533).txt,train,15,0.8033,0.4843,0.095,0.1437,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2533)
rev01__21__21_20201102 (2533).txt,train,15,0.6652,0.4414,0.1287,0.1496,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2533)
rev01__21__21_20201102 (2536).txt,train,15,0.6799,0.4432,0.1124,0.1562,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2536)
rev01__21__21_20201102 (2536).txt,train,15,0.7885,0.4826,0.122,0.1429,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2536)
rev01__21__21_20201102 (2537).txt,train,15,0.6751,0.4422,0.1262,0.1525,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2537)
rev01__21__21_20201102 (2537).txt,train,15,0.7756,0.4825,0.1054,0.1444,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2537)
rev01__21__21_20201102 (2543).txt,train,15,0.7423,0.4844,0.0429,0.1496,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2543)
rev01__21__21_20201102 (2543).txt,train,15,0.7666,0.4548,0.1308,0.1481,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201102 (2543)
rev01__21__21_20201103 (2632).txt,train,7,0.7397,0.38,0.0312,0.0726,Dama dama,alba,donanet\images\train\rev01__21__21_20201103 (2632)
rev01__21__21_20201103 (2632).txt,train,7,0.616,0.3744,0.0496,0.0881,Dama dama,alba,donanet\images\train\rev01__21__21_20201103 (2632)
rev01__21__21_20201103 (2632).txt,train,7,0.4292,0.363,0.0333,0.0622,Dama dama,alba,donanet\images\train\rev01__21__21_20201103 (2632)
rev01__21__21_20201107 (2855).txt,train,14,0.1683,0.4733,0.185,0.2296,Vulpes vulpes,alba,donanet\images\train\rev01__21__21_20201107 (2855)
rev01__21__21_20201111 (4939).txt,train,7,0.7376,0.3248,0.2054,0.3355,Dama dama,alba,donanet\images\train\rev01__21__21_20201111 (4939)
rev01__21__21_20201112 (4979).txt,train,15,0.0804,0.3729,0.1066,0.1162,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201112 (4979)
rev01__21__21_20201112 (4999).txt,train,15,0.3633,0.4018,0.0692,0.0689,Sus scrofa,alba,donanet\images\train\rev01__21__21_20201112 (4999)
rev01__21__21_20201114 (5571).txt,train,11,0.3055,0.524,0.0362,0.1207,Lepus granatensis,alba,donanet\images\train\rev01__21__21_20201114 (5571)
rev01__21__21_20201114 (5573).txt,train,11,0.0702,0.4884,0.1145,0.177,Lepus granatensis,alba,donanet\images\train\rev01__21__21_20201114 (5573)
rev01__21__21_20201116 (5714).txt,train,4,0.1749,0.4963,0.1416,0.0711,Herpestes ichneumon,alba,donanet\images\train\rev01__21__21_20201116 (5714)
rev01__21__21_20201116 (5716).txt,train,4,0.7158,0.554,0.1533,0.0815,Herpestes ichneumon,alba,donanet\images\train\rev01__21__21_20201116 (5716)
rev01__21__21_20201116 (5725).txt,train,7,0.4101,0.4636,0.1362,0.3066,Dama dama,alba,donanet\images\train\rev01__21__21_20201116 (5725)
rev01__21__21_20201116 (5727).txt,train,7,0.3943,0.4655,0.1304,0.3014,Dama dama,alba,donanet\images\train\rev01__21__21_20201116 (5727)
rev01__21__21_20201116 (5729).txt,train,7,0.3194,0.4303,0.2329,0.3362,Dama dama,alba,donanet\images\train\rev01__21__21_20201116 (5729)
rev01__21__21_20201118 (6266).txt,train,10,0.3904,0.4903,0.7808,0.9762,Homo sapiens,alba,donanet\images\train\rev01__21__21_20201118 (6266)
rev01__21__21_20201118 (6266).txt,train,10,0.9426,0.514,0.1145,0.9288,Homo sapiens,alba,donanet\images\train\rev01__21__21_20201118 (6266)
rev01__23__23_20201117 (245).txt,train,10,0.1548,0.3526,0.1754,0.6918,Homo sapiens,alba,donanet\images\train\rev01__23__23_20201117 (245)
rev01__23__23_20201117 (245).txt,train,10,0.591,0.4896,0.8179,0.9762,Homo sapiens,alba,donanet\images\train\rev01__23__23_20201117 (245)
rev01__24__24_20201019 (154).txt,train,15,0.4774,0.5703,0.1066,0.2414,Sus scrofa,alba,donanet\images\train\rev01__24__24_20201019 (154)
rev01__24__24_20201019 (16).txt,train,10,0.6582,0.511,0.2141,0.6533,Homo sapiens,alba,donanet\images\train\rev01__24__24_20201019 (16)
rev01__24__24_20201019 (16).txt,train,10,0.7975,0.5552,0.405,0.8111,Homo sapiens,alba,donanet\images\train\rev01__24__24_20201019 (16)
rev01__24__24_20201019 (16).txt,train,10,0.4866,0.5,0.1908,0.6059,Homo sapiens,alba,donanet\images\train\rev01__24__24_20201019 (16)
rev01__24__24_20201019 (16).txt,train,10,0.2594,0.5181,0.2991,0.7488,Homo sapiens,alba,donanet\images\train\rev01__24__24_20201019 (16)
rev01__24__24_20201019 (17).txt,train,10,0.6487,0.5114,0.1958,0.6466,Homo sapiens,alba,donanet\images\train\rev01__24__24_20201019 (17)
rev01__24__24_20201019 (17).txt,train,10,0.8393,0.5596,0.3204,0.8051,Homo sapiens,alba,donanet\images\train\rev01__24__24_20201019 (17)
rev01__24__24_20201019 (17).txt,train,10,0.4857,0.5007,0.1924,0.6044,Homo sapiens,alba,donanet\images\train\rev01__24__24_20201019 (17)
rev01__24__24_20201019 (17).txt,train,10,0.2658,0.5174,0.2883,0.7503,Homo sapiens,alba,donanet\images\train\rev01__24__24_20201019 (17)
rev01__24__24_20201019 (18).txt,train,10,0.8474,0.5662,0.2283,0.7829,Homo sapiens,alba,donanet\images\train\rev01__24__24_20201019 (18)
